Country,Legislature type,Salary (local),Salary ($US),GDP per capita ($US),Salary as % GDP per capita,Data confidence,Last checked,Source
:in: India,House of the People,₹ 1488000,16950,10176,167%,High,24-Apr-2025,[Media report 2025](https://timesofindia.indiatimes.com/india/mps-to-earn-rs-1-2-lakh/month-as-centre-notifies-24-hike-in-pay-pension/articleshow/119442778.cms)
:ne: Niger,National Assembly,FCFA 8700000,15710,1817,864%,Medium,22-Nov-2024,[Inter-Parliamentary Union 2023](https://data.ipu.org/parliament/NE/NE-LC01/parliamentary-mandate/parliamentary-mandate/)
:rw: Rwanda,Chamber of Deputies,R₣ 20992608,14510,3361,432%,Medium,22-Nov-2024,[Inter-Parliamentary Union 2021](https://data.ipu.org/parliament/RW/RW-LC01/parliamentary-mandate/parliamentary-mandate/)
:td: Chad,Transitional National Council,FCFA 7920000,14300,1969,726%,Medium,21-Oct-2024,[Inter-Parliamentary Union 2023](https://data.ipu.org/parliament/TD/TD-LC01/parliamentary-mandate/parliamentary-mandate/)
:md: Moldova,Parliament,L 234240,14140,17384,81%,Medium,22-Nov-2024,[Inter-Parliamentary Union 2021](https://data.ipu.org/parliament/MD/MD-LC01/parliamentary-mandate/parliamentary-mandate/)
:sl: Sierra Leone,Parliament,Le 306768,13470,1847,729%,Medium,22-Nov-2024,[Inter-Parliamentary Union 2022](https://data.ipu.org/parliament/SL/SL-LC01/parliamentary-mandate/parliamentary-mandate/)
:id: Indonesia,MPR-RI,Rp 220000000,13360,15613,86%,Medium,2-Nov-2024,[Inter-Parliamentary Union 2023](https://data.ipu.org/parliament/ID/ID-LC01/parliamentary-mandate/parliamentary-mandate/)
:gy: Guyana,National Assembly,GY$ 2776608,13280,55263,24%,Medium,31-Oct-2024,[Inter-Parliamentary Union 2022](https://data.ipu.org/parliament/GY/GY-LC01/parliamentary-mandate/parliamentary-mandate/)
:rs: Serbia,National Assembly,Дин 1256928,12710,27402,46%,Medium,21-Oct-2024,[Inter-Parliamentary Union 2023](https://data.ipu.org/parliament/RS/RS-LC01/parliamentary-mandate/parliamentary-mandate/)
:vc: St. Vincent and the Grenadines,House of Assembly,EC$ 32770,12110,19876,61%,Medium,22-Nov-2024,[Inter-Parliamentary Union 2023](https://data.ipu.org/parliament/VC/VC-LC01/parliamentary-mandate/parliamentary-mandate/)
:zm: Zambia,National Assembly,ZK 276000,11744,4126,285%,Medium,22-Nov-2024,[Inter-Parliamentary Union 2023](https://data.ipu.org/parliament/ZM/ZM-LC01/parliamentary-mandate/parliamentary-mandate/)
:tz: Tanzania,National Assembly,TSh 27600000,11190,3973,282%,Medium,24-Nov-2024,[Inter-Parliamentary Union 2022](https://data.ipu.org/parliament/TZ/TZ-LC01/parliamentary-mandate/parliamentary-mandate/)
:tz: Tanzania,National Assembly,TSh 27600000,11190,3973,282%,Medium,21-Oct-2024,[Inter-Parliamentary Union 2022](https://data.ipu.org/parliament/TZ/TZ-LC01/parliamentary-mandate/parliamentary-mandate/)
:by: Belarus,House of Representatives,Br 37320,11020,30752,36%,Low,21-Oct-2024,[Media report 2023](https://tashkenttimes.uz/national/11463-uzbek-mps-paid-less-than-their-foreign-peers)
:bt: Bhutan,National Assembly,Nu 886140,10090,15022,67%,High,25-Oct-2024,[Bhutan Government 2023](https://www.mof.gov.bt/wp-content/uploads/2023/07/Pay-Structure-Reform-Pay-Revision-Notification-July-2023.pdf)
:ht: Haiti,Chamber of Deputies,G 1261000,9630,3256,296%,Medium,31-Oct-2024,[Inter-Parliamentary Union 2020](https://data.ipu.org/parliament/HT/HT-LC01/parliamentary-mandate/parliamentary-mandate/)
:tj: Tajikistan,Assembly of Representatives,SM‎ 87840,9320,5082,183%,Low,21-Oct-2024,[Media report 2023](https://tashkenttimes.uz/national/11463-uzbek-mps-paid-less-than-their-foreign-peers)
:ua: Ukraine,Parliament,₴ 363360,8820,18008,49%,Medium,20-Oct-2024,[Parlament Ukraine (think tank) 2024](https://parlament.org.ua/en/analytics/how-much-do-mps-earn-and-how-can-they-earn-more/)
:mw: Malawi,National Assembly,MK 14279688,8230,1868,441%,Medium,5-Nov-2024,[Inter-Parliamentary Union 2022](https://data.ipu.org/parliament/MW/MW-LC01/parliamentary-mandate/parliamentary-mandate/)
:st: São Tomé and Principe,National Assembly,Db 168234,8050,6064,133%,Medium,22-Nov-2024,[Inter-Parliamentary Union 2022](https://data.ipu.org/parliament/ST/ST-LC01/parliamentary-mandate/parliamentary-mandate/)
:np: Nepal,House of Representatives,₨ 1080840,7690,5182,148%,Medium,21-Oct-2024,[Inter-Parliamentary Union 2023](https://data.ipu.org/parliament/NP/NP-LC01/parliamentary-mandate/parliamentary-mandate/)
:zw: Zimbabwe,National Assembly,Z$ 2716511,7506,3900,192%,Medium,22-Nov-2024,[Inter-Parliamentary Union 2023](https://data.ipu.org/parliament/ZW/ZW-LC01/parliamentary-mandate/parliamentary-mandate/)
