CN,ISO,Rate
44011200,DE,0.0
44013100,DE,0.0
44013900,DE,0.0
06,DE,0.0
44011100,DE,0.0
44011200,DE,0.0
44013100,DE,0.0
44013900,DE,0.0
4901,DE,7.0
49030000,DE,7.0
49040000,DE,7.0
4905,DE,7.0
97050000,DE,7.0
97060000,DE,7.0
4901,DE,7.0
49030000,DE,7.0
49040000,DE,7.0
4905,DE,7.0
97050000,DE,7.0
97060000,DE,7.0
4902,DE,7.0
4902,DE,7.0
4902,DE,7.0
4902,DE,7.0
7118,DE,7.0
97050000,DE,7.0
97060000,DE,7.0
8713,DE,7.0
902110,DE,7.0
902121,DE,7.0
90212900,DE,7.0
90213100,DE,7.0
902139,DE,7.0
90214000,DE,7.0
90215000,DE,7.0
902190,DE,7.0
8713,DE,7.0
902110,DE,7.0
902121,DE,7.0
90212900,DE,7.0
90213100,DE,7.0
902139,DE,7.0
90214000,DE,7.0
90215000,DE,7.0
902190,DE,7.0
9701,DE,7.0
9701,DE,7.0
97020000,DE,7.0
97020000,DE,7.0
97030000,DE,7.0
97030000,DE,7.0
97030000,DE,7.0
97030000,DE,7.0
22019000,DE,7.0
22019000,DE,7.0
,DE,19.0
,DE,19.0
06029099,FR,0.0
06031100,FR,0.0
06031200,FR,0.0
06031300,FR,0.0
06031400,FR,0.0
06031500,FR,0.0
060319,FR,0.0
060420,FR,0.0
06049011,FR,0.0
06049019,FR,0.0
06049091,FR,0.0
4401,FR,0.0
4403,FR,0.0
2941,FR,2.1
30021100,FR,2.1
30021200,FR,2.1
30021300,FR,2.1
30021400,FR,2.1
30021500,FR,2.1
30021900,FR,2.1
300220,FR,2.1
3004,FR,2.1
3005,FR,2.1
30061090,FR,2.1
30062000,FR,2.1
30063000,FR,2.1
30066000,FR,2.1
30067000,FR,2.1
30069200,FR,2.1
63051010,FR,2.1
63052000,FR,2.1
63053290,FR,2.1
63053900,FR,2.1
63059000,FR,2.1
02,FR,10.0
15141910,FR,10.0
15141990,FR,10.0
15162095,FR,10.0
151800,FR,10.0
15219091,FR,10.0
15219099,FR,10.0
21022019,FR,10.0
250100,FR,10.0
28020000,FR,10.0
28201000,FR,10.0
28209090,FR,10.0
28211000,FR,10.0
28255000,FR,10.0
28259085,FR,10.0
282739,FR,10.0
28274100,FR,10.0
28276000,FR,10.0
28299080,FR,10.0
28332500,FR,10.0
28332930,FR,10.0
28332980,FR,10.0
28342920,FR,10.0
28352200,FR,10.0
28352600,FR,10.0
283529,FR,10.0
28352990,FR,10.0
28353100,FR,10.0
28353900,FR,10.0
28363000,FR,10.0
28365000,FR,10.0
28369911,FR,10.0
28369917,FR,10.0
28417000,FR,10.0
284290,FR,10.0
30029050,FR,10.0
330112,FR,10.0
330290,FR,10.0
35040090,FR,10.0
38040000,FR,10.0
38086900,FR,10.0
380891,FR,10.0
380892,FR,10.0
380893,FR,10.0
380899,FR,10.0
01,FR,10.0
03,FR,10.0
04,FR,10.0
05,FR,10.0
07,FR,10.0
10,FR,10.0
12,FR,10.0
1301,FR,10.0
14049000,FR,10.0
17,FR,10.0
23080040,FR,10.0
240110,FR,10.0
4403,FR,10.0
5102,FR,10.0
53050000,FR,10.0
0505,FR,10.0
05069000,FR,10.0
0507,FR,10.0
0511,FR,10.0
0714,FR,10.0
1006,FR,10.0
12115000,FR,10.0
12119086,FR,10.0
12122100,FR,10.0
12122900,FR,10.0
15,FR,10.0
1703,FR,10.0
18020000,FR,10.0
1904,FR,10.0
21022019,FR,10.0
21022090,FR,10.0
23,FR,10.0
25010099,FR,10.0
25090000,FR,10.0
2510,FR,10.0
25199030,FR,10.0
28012000,FR,10.0
28170000,FR,10.0
28332100,FR,10.0
28332500,FR,10.0
28332920,FR,10.0
28352400,FR,10.0
28352500,FR,10.0
29033911,FR,10.0
29124100,FR,10.0
29147100,FR,10.0
29147900,FR,10.0
29152900,FR,10.0
29181200,FR,10.0
29181500,FR,10.0
